Package,Class name,Statement Coverage,(2) % Statement coverage,(4) McCabe complexity
org.apache.commons.collections4.keyvalue,TiedMapEntry,0.954545455,95.45454545,18
org.apache.commons.collections4.keyvalue,AbstractMapEntry,1,100,14
org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,1,100,4
org.apache.commons.collections4.keyvalue,AbstractKeyValue,1,100,6
org.apache.commons.collections4.keyvalue,MultiKey,0.985074627,98.50746269,30
org.apache.commons.collections4.keyvalue,DefaultMapEntry,1,100,3
org.apache.commons.collections4.keyvalue,DefaultKeyValue,0.96,96,21
org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,0.833333333,83.33333333,9
org.apache.commons.collections4.splitmap,TransformedSplitMap,0.807692308,80.76923077,13
org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,0.80952381,80.95238095,17
org.apache.commons.collections4.collection,AbstractCollectionDecorator,0.916666667,91.66666667,19
org.apache.commons.collections4.collection,TransformedCollection,1,100,10
org.apache.commons.collections4.collection,IndexedCollection,0.970149254,97.01492537,32
org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,0.785714286,78.57142857,20
org.apache.commons.collections4.collection,PredicatedCollection,1,100,10
org.apache.commons.collections4.collection,CompositeCollection,0.892857143,89.28571429,56
org.apache.commons.collections4.collection,SynchronizedCollection,1,100,24
org.apache.commons.collections4.collection,PredicatedCollection.Builder,0.853658537,85.36585366,17
org.apache.commons.collections4.collection,UnmodifiableCollection,1,100,11
org.apache.commons.collections4.comparators,TransformingComparator,1,100,16
org.apache.commons.collections4.comparators,ReverseComparator,0.8,80,9
org.apache.commons.collections4.comparators,BooleanComparator,0.944444444,94.44444444,17
org.apache.commons.collections4.comparators,ComparableComparator,1,100,9
org.apache.commons.collections4.comparators,FixedOrderComparator.UnknownObjectBehavior,1,100,1
org.apache.commons.collections4.comparators,FixedOrderComparator,0.947368421,94.73684211,42
org.apache.commons.collections4.comparators,NullComparator,0.703703704,70.37037037,18
org.apache.commons.collections4.comparators,ComparatorChain,0.753246753,75.32467532,39
org.apache.commons.collections4.properties,AbstractPropertiesFactory,0.964285714,96.42857143,13
org.apache.commons.collections4.properties,PropertiesFactory,1,100,2
org.apache.commons.collections4.properties,SortedPropertiesFactory,1,100,2
org.apache.commons.collections4.properties,SortedProperties,1,100,3
org.apache.commons.collections4.properties,PropertiesFactory.EmptyProperties,0.961038961,96.1038961,47
org.apache.commons.collections4.properties,AbstractPropertiesFactory.PropertyFormat,1,100,3
org.apache.commons.collections4.sequence,KeepCommand,1,100,2
org.apache.commons.collections4.sequence,DeleteCommand,1,100,2
org.apache.commons.collections4.sequence,SequencesComparator,0.9875,98.75,47
org.apache.commons.collections4.sequence,SequencesComparator.Snake,1,100,4
org.apache.commons.collections4.sequence,ReplacementsFinder,0,0,6
org.apache.commons.collections4.sequence,EditCommand,1,100,2
org.apache.commons.collections4.sequence,InsertCommand,1,100,2
org.apache.commons.collections4.sequence,EditScript,0.95,95,8
org.apache.commons.collections4.trie.analyzer,StringKeyAnalyzer,0.9,90,25
org.apache.commons.collections4.bag,AbstractMapBag,0.981927711,98.19277108,68
org.apache.commons.collections4.bag,PredicatedBag,1,100,11
org.apache.commons.collections4.bag,SynchronizedBag,0.904761905,90.47619048,11
org.apache.commons.collections4.bag,AbstractMapBag.BagIterator,0.962962963,96.2962963,11
org.apache.commons.collections4.bag,PredicatedSortedBag,1,100,6
org.apache.commons.collections4.bag,AbstractSortedBagDecorator,0.625,62.5,6
org.apache.commons.collections4.bag,UnmodifiableSortedBag,0.869565217,86.95652174,16
org.apache.commons.collections4.bag,SynchronizedBag.SynchronizedBagSet,1,100,1
org.apache.commons.collections4.bag,AbstractBagDecorator,0.727272727,72.72727273,11
org.apache.commons.collections4.bag,SynchronizedSortedBag,0.25,25,7
org.apache.commons.collections4.bag,TransformedSortedBag,0.928571429,92.85714286,9
org.apache.commons.collections4.bag,TransformedBag,1,100,14
org.apache.commons.collections4.bag,AbstractMapBag.MutableInteger,0.428571429,42.85714286,5
org.apache.commons.collections4.bag,TreeBag,0.869565217,86.95652174,12
org.apache.commons.collections4.bag,CollectionBag,0.954545455,95.45454545,23
org.apache.commons.collections4.bag,CollectionSortedBag,0.954545455,95.45454545,23
org.apache.commons.collections4.bag,UnmodifiableBag,0.875,87.5,16
org.apache.commons.collections4.bag,HashBag,1,100,4
org.apache.commons.collections4.bloomfilter.hasher.function,MD5Cyclic,0.92,92,8
org.apache.commons.collections4.bloomfilter.hasher.function,Signatures,1,100,1
org.apache.commons.collections4.bloomfilter.hasher.function,ObjectsHashIterative,1,100,8
org.apache.commons.collections4.bloomfilter.hasher.function,Murmur128x64Cyclic,1,100,9
org.apache.commons.collections4.bloomfilter.hasher.function,Murmur32x86Iterative,1,100,7
org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeEntryMap,0.810810811,81.08108108,27
org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeEntrySet,1,100,6
org.apache.commons.collections4.trie,AbstractPatriciaTrie.KeySet.KeyIterator,1,100,2
org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeMap,0.652173913,65.2173913,39
org.apache.commons.collections4.trie,AbstractPatriciaTrie.KeySet,1,100,7
org.apache.commons.collections4.trie,AbstractPatriciaTrie.TrieIterator,0.961538462,96.15384615,11
org.apache.commons.collections4.trie,AbstractPatriciaTrie.TrieEntry,0.853658537,85.36585366,18
org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeEntrySet.EntryIterator,1,100,8
org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeEntrySet,0.975,97.5,20
org.apache.commons.collections4.trie,AbstractPatriciaTrie.EntrySet,0.9375,93.75,11
org.apache.commons.collections4.trie,KeyAnalyzer,0.7,70,13
org.apache.commons.collections4.trie,UnmodifiableTrie,0.823529412,82.35294118,28
org.apache.commons.collections4.trie,AbstractPatriciaTrie.Values.ValueIterator,1,100,2
org.apache.commons.collections4.trie,PatriciaTrie,0.5,50,2
org.apache.commons.collections4.trie,AbstractPatriciaTrie.EntrySet.EntryIterator,1,100,2
org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeEntrySet.SingletonIterator,0.571428571,57.14285714,7
org.apache.commons.collections4.trie,AbstractBitwiseTrie.BasicEntry,0.807692308,80.76923077,15
org.apache.commons.collections4.trie,AbstractPatriciaTrie.TrieMapIterator,0.96,96,15
org.apache.commons.collections4.trie,AbstractPatriciaTrie.Reference,0,0,2
org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeEntrySet.EntryIterator,1,100,9
org.apache.commons.collections4.trie,AbstractPatriciaTrie,0.699769053,69.97690531,196
org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeMap,0.875,87.5,35
org.apache.commons.collections4.trie,AbstractPatriciaTrie.Values,1,100,8
org.apache.commons.collections4.trie,AbstractBitwiseTrie,0.884615385,88.46153846,19
org.apache.commons.collections4.list,NodeCachingLinkedList,0.927272727,92.72727273,20
org.apache.commons.collections4.list,TreeList,0.981481481,98.14814815,25
org.apache.commons.collections4.list,SetUniqueList.SetListIterator,1,100,3
org.apache.commons.collections4.list,PredicatedList.PredicatedListIterator,1,100,3
org.apache.commons.collections4.list,AbstractSerializableListDecorator,1,100,3
org.apache.commons.collections4.list,TransformedList,1,100,20
org.apache.commons.collections4.list,FixedSizeList,1,100,23
org.apache.commons.collections4.list,FixedSizeList.FixedSizeListIterator,0.6,60,3
org.apache.commons.collections4.list,AbstractLinkedList,0.95959596,95.95959596,99
org.apache.commons.collections4.list,CursorableLinkedList.SubCursor,1,100,8
org.apache.commons.collections4.list,AbstractLinkedList.LinkedListIterator,1,100,19
org.apache.commons.collections4.list,TransformedList.TransformedListIterator,1,100,3
org.apache.commons.collections4.list,UnmodifiableList,1,100,18
org.apache.commons.collections4.list,AbstractListDecorator,0.888888889,88.88888889,17
org.apache.commons.collections4.list,GrowthList,1,100,12
org.apache.commons.collections4.list,CursorableLinkedList.Cursor,0.962264151,96.22641509,22
org.apache.commons.collections4.list,AbstractLinkedList.Node,0.476190476,47.61904762,9
org.apache.commons.collections4.list,CursorableLinkedList,0.9125,91.25,33
org.apache.commons.collections4.list,SetUniqueList,0.95890411,95.89041096,33
org.apache.commons.collections4.list,AbstractLinkedList.LinkedSubList,0.904761905,90.47619048,22
org.apache.commons.collections4.list,SetUniqueList.SetListListIterator,1,100,7
org.apache.commons.collections4.list,AbstractLinkedList.LinkedSubListIterator,1,100,8
org.apache.commons.collections4.list,PredicatedList,1,100,18
org.apache.commons.collections4.list,TreeList.AVLNode,0.938931298,93.89312977,106
org.apache.commons.collections4.list,LazyList,0.941176471,94.11764706,14
org.apache.commons.collections4.list,TreeList.TreeListIterator,0.98245614,98.24561404,22
org.apache.commons.collections4.functors,ComparatorPredicate,0.956521739,95.65217391,14
org.apache.commons.collections4.functors,MapTransformer,0.875,87.5,5
org.apache.commons.collections4.functors,ExceptionPredicate,1,100,4
org.apache.commons.collections4.functors,PrototypeFactory.PrototypeSerializationFactory,0.80952381,80.95238095,3
org.apache.commons.collections4.functors,InstantiateTransformer,0.703703704,70.37037037,18
org.apache.commons.collections4.functors,OrPredicate,0.875,87.5,6
org.apache.commons.collections4.functors,NotNullPredicate,1,100,5
org.apache.commons.collections4.functors,FactoryTransformer,0.833333333,83.33333333,4
org.apache.commons.collections4.functors,NonePredicate,1,100,8
org.apache.commons.collections4.functors,ComparatorPredicate.Criterion,1,100,1
org.apache.commons.collections4.functors,ForClosure,0.857142857,85.71428571,9
org.apache.commons.collections4.functors,StringValueTransformer,1,100,4
org.apache.commons.collections4.functors,WhileClosure,0.8,80,8
org.apache.commons.collections4.functors,UniquePredicate,1,100,3
org.apache.commons.collections4.functors,ChainedTransformer,0.947368421,94.73684211,10
org.apache.commons.collections4.functors,TransformerClosure,0.888888889,88.88888889,5
org.apache.commons.collections4.functors,NullPredicate,1,100,5
org.apache.commons.collections4.functors,InstanceofPredicate,0.833333333,83.33333333,4
org.apache.commons.collections4.functors,AbstractQuantifierPredicate,0.75,75,2
org.apache.commons.collections4.functors,AnyPredicate,0.944444444,94.44444444,10
org.apache.commons.collections4.functors,IdentityPredicate,0.875,87.5,6
org.apache.commons.collections4.functors,IfTransformer,0.8125,81.25,8
org.apache.commons.collections4.functors,CatchAndRethrowClosure,1,100,2
org.apache.commons.collections4.functors,PredicateTransformer,0.875,87.5,5
org.apache.commons.collections4.functors,ExceptionFactory,1,100,4
org.apache.commons.collections4.functors,SwitchTransformer,0.875,87.5,20
org.apache.commons.collections4.functors,EqualPredicate,0.9375,93.75,9
org.apache.commons.collections4.functors,NullIsExceptionPredicate,0.875,87.5,5
org.apache.commons.collections4.functors,ConstantTransformer,0.55,55,15
org.apache.commons.collections4.functors,InstantiateFactory,0.787878788,78.78787879,15
org.apache.commons.collections4.functors,NullIsFalsePredicate,0.875,87.5,5
org.apache.commons.collections4.functors,PrototypeFactory,1,100,3
org.apache.commons.collections4.functors,NOPTransformer,1,100,4
org.apache.commons.collections4.functors,CloneTransformer,1,100,4
org.apache.commons.collections4.functors,DefaultEquator,0.8,80,9
org.apache.commons.collections4.functors,PrototypeFactory.PrototypeCloneFactory,0.375,37.5,4
org.apache.commons.collections4.functors,ChainedClosure,0.956521739,95.65217391,11
org.apache.commons.collections4.functors,ConstantFactory,0.888888889,88.88888889,6
org.apache.commons.collections4.functors,ClosureTransformer,0.857142857,85.71428571,4
org.apache.commons.collections4.functors,FalsePredicate,1,100,4
org.apache.commons.collections4.functors,NullIsTruePredicate,0.875,87.5,5
org.apache.commons.collections4.functors,InvokerTransformer,0.806451613,80.64516129,17
org.apache.commons.collections4.functors,FunctorUtils,0.864864865,86.48648649,21
org.apache.commons.collections4.functors,TransformedPredicate,0.8,80,5
org.apache.commons.collections4.functors,SwitchClosure,0.918918919,91.89189189,19
org.apache.commons.collections4.functors,ExceptionClosure,1,100,4
org.apache.commons.collections4.functors,IfClosure,0.722222222,72.22222222,9
org.apache.commons.collections4.functors,OnePredicate,0.941176471,94.11764706,9
org.apache.commons.collections4.functors,AndPredicate,0.875,87.5,6
org.apache.commons.collections4.functors,AllPredicate,1,100,10
org.apache.commons.collections4.functors,TruePredicate,1,100,4
org.apache.commons.collections4.functors,ExceptionTransformer,1,100,4
org.apache.commons.collections4.functors,NotPredicate,0.833333333,83.33333333,5
org.apache.commons.collections4.functors,TransformerPredicate,0.888888889,88.88888889,5
org.apache.commons.collections4.functors,NOPClosure,1,100,4
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,1,100,34
org.apache.commons.collections4.bidimap,TreeBidiMap.InverseViewMapIterator,0.916666667,91.66666667,8
org.apache.commons.collections4.bidimap,TreeBidiMap,0.931034483,93.10344828,192
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.Values,1,100,5
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.MapEntry,1,100,4
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.KeySetIterator,1,100,4
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.EntrySet,1,100,8
org.apache.commons.collections4.bidimap,TreeBidiMap.InverseViewMapEntryIterator,0.833333333,83.33333333,4
org.apache.commons.collections4.bidimap,TreeBidiMap.ViewMapIterator,0.916666667,91.66666667,8
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapDecorator,0.333333333,33.33333333,8
org.apache.commons.collections4.bidimap,DualLinkedHashBidiMap,0.823529412,82.35294118,6
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.BidiMapIterator,0.891891892,89.18918919,16
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.View,1,100,20
org.apache.commons.collections4.bidimap,AbstractOrderedBidiMapDecorator,0.777777778,77.77777778,8
org.apache.commons.collections4.bidimap,TreeBidiMap.ValueView,1,100,6
org.apache.commons.collections4.bidimap,TreeBidiMap.KeyView,1,100,6
org.apache.commons.collections4.bidimap,TreeBidiMap.ViewIterator,0.692307692,69.23076923,16
org.apache.commons.collections4.bidimap,UnmodifiableBidiMap,1,100,14
org.apache.commons.collections4.bidimap,TreeBidiMap.Inverse,0.739130435,73.91304348,33
org.apache.commons.collections4.bidimap,TreeBidiMap.Node,0.960784314,96.07843137,33
org.apache.commons.collections4.bidimap,TreeBidiMap.EntryView,0.947368421,94.73684211,10
org.apache.commons.collections4.bidimap,DualTreeBidiMap,0.85,85,26
org.apache.commons.collections4.bidimap,DualTreeBidiMap.ViewMap,0.615384615,61.53846154,10
org.apache.commons.collections4.bidimap,DualHashBidiMap,0.823529412,82.35294118,6
org.apache.commons.collections4.bidimap,TreeBidiMap.View,1,100,3
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.KeySet,1,100,5
org.apache.commons.collections4.bidimap,TreeBidiMap.DataElement,1,100,3
org.apache.commons.collections4.bidimap,DualTreeBidiMap.BidiOrderedMapIterator,0.828571429,82.85714286,17
org.apache.commons.collections4.bidimap,UnmodifiableOrderedBidiMap,1,100,15
org.apache.commons.collections4.bidimap,TreeBidiMap.ViewMapEntryIterator,0.8,80,3
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.ValuesIterator,1,100,4
org.apache.commons.collections4.bidimap,AbstractBidiMapDecorator,0.625,62.5,7
org.apache.commons.collections4.bidimap,TreeBidiMap.InverseEntryView,0.947368421,94.73684211,10
org.apache.commons.collections4.bidimap,UnmodifiableSortedBidiMap,1,100,17
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.EntrySetIterator,1,100,4
org.apache.commons.collections4.map,AbstractLinkedMap.EntrySetIterator,0.75,75,3
org.apache.commons.collections4.map,UnmodifiableEntrySet,0.965517241,96.55172414,18
org.apache.commons.collections4.map,LazyMap,1,100,8
org.apache.commons.collections4.map,StaticBucketMap.Node,0.933333333,93.33333333,15
org.apache.commons.collections4.map,AbstractHashedMap.Values,1,100,5
org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceBaseIterator,0.979591837,97.95918367,19
org.apache.commons.collections4.map,Flat3Map.EntrySet,0.944444444,94.44444444,8
org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceValues,1,100,4
org.apache.commons.collections4.map,TransformedSortedMap,1,100,11
org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceStrength,0.7,70,6
org.apache.commons.collections4.map,FixedSizeMap,0.714285714,71.42857143,16
org.apache.commons.collections4.map,AbstractOrderedMapDecorator,0.9,90,8
org.apache.commons.collections4.map,ListOrderedMap.KeySetView.new AbstractUntypedIteratorDecorator() {...},1,100,2
org.apache.commons.collections4.map,PredicatedSortedMap,1,100,9
org.apache.commons.collections4.map,AbstractReferenceMap.SoftRef,0,0,2
org.apache.commons.collections4.map,ListOrderedMap.ValuesView.new AbstractUntypedIteratorDecorator() {...},1,100,2
org.apache.commons.collections4.map,PredicatedMap,1,100,17
org.apache.commons.collections4.map,StaticBucketMap.KeyIterator,1,100,2
org.apache.commons.collections4.map,Flat3Map.KeySetIterator,1,100,2
org.apache.commons.collections4.map,Flat3Map.FlatMapEntry,0.666666667,66.66666667,32
org.apache.commons.collections4.map,Flat3Map.Values,0.916666667,91.66666667,7
org.apache.commons.collections4.map,AbstractReferenceMap.WeakRef,1,100,2
org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceKeySetIterator,1,100,2
org.apache.commons.collections4.map,ListOrderedMap.KeySetView,1,100,5
org.apache.commons.collections4.map,AbstractReferenceMap,0.955357143,95.53571429,53
org.apache.commons.collections4.map,UnmodifiableMap,0.814814815,81.48148148,14
org.apache.commons.collections4.map,CompositeMap,0.945652174,94.56521739,48
org.apache.commons.collections4.map,AbstractLinkedMap.ValuesIterator,0.75,75,3
org.apache.commons.collections4.map,AbstractHashedMap,0.947183099,94.71830986,120
org.apache.commons.collections4.map,TransformedMap,1,100,18
org.apache.commons.collections4.map,AbstractLinkedMap.LinkEntry,1,100,1
org.apache.commons.collections4.map,StaticBucketMap.ValueIterator,1,100,2
org.apache.commons.collections4.map,PassiveExpiringMap.ConstantTimeToLiveExpirationPolicy,0.769230769,76.92307692,6
org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator,0.875,87.5,5
org.apache.commons.collections4.map,AbstractLinkedMap.LinkIterator,0.891891892,89.18918919,18
org.apache.commons.collections4.map,LazySortedMap,1,100,11
org.apache.commons.collections4.map,StaticBucketMap.BaseIterator,1,100,10
org.apache.commons.collections4.map,LinkedMap.LinkedMapList,0.952380952,95.23809524,19
